timestamp,camera,object,alert,confidence,x1,y1,x2,y2
2025-09-06 04:37:13.891399,0,person,Info,0.93193519115448,207,0,493,356
2025-09-06 04:37:14.060203,0,person,Info,0.9275352358818054,206,0,493,356
2025-09-06 04:37:14.212065,0,person,Info,0.9331402778625488,207,0,498,356
2025-09-06 04:37:14.362840,0,person,Info,0.9281510710716248,206,0,498,356
2025-09-06 04:37:14.559711,0,person,Info,0.9288013577461243,207,0,498,357
2025-09-06 04:37:14.707878,0,person,Info,0.926611065864563,207,0,499,357
2025-09-06 04:37:14.838073,0,person,Info,0.9309306740760803,208,0,498,356
2025-09-06 04:37:14.962865,0,person,Info,0.9303584098815918,207,0,498,356
2025-09-06 04:37:15.101835,0,person,Info,0.9303656816482544,207,0,499,357
2025-09-06 04:37:15.101941,0,bottle,Info,0.2540780007839203,102,277,118,331
2025-09-06 04:37:15.225704,0,person,Info,0.9302720427513123,206,0,499,356
2025-09-06 04:37:15.346277,0,person,Info,0.9294075965881348,206,0,497,356
2025-09-06 04:37:15.346522,0,bottle,Info,0.3017047643661499,102,277,119,330
2025-09-06 04:37:15.459022,0,person,Info,0.9262725114822388,208,0,499,357
2025-09-06 04:37:15.597837,0,person,Info,0.9287103414535522,207,0,501,358
2025-09-06 04:37:15.727378,0,person,Info,0.9241997599601746,212,1,506,358
2025-09-06 04:37:15.846255,0,person,Info,0.925647497177124,217,1,519,358
2025-09-06 04:37:15.974561,0,person,Info,0.9310868382453918,222,2,534,356
2025-09-06 04:37:16.086407,0,person,Info,0.9376741051673889,228,3,544,356
2025-09-06 04:37:16.202266,0,person,Info,0.934171199798584,234,4,551,357
2025-09-06 04:37:16.316121,0,person,Info,0.9373719096183777,237,6,557,356
2025-09-06 04:37:16.435286,0,person,Info,0.9385532736778259,237,7,557,356
2025-09-06 04:37:16.550284,0,person,Info,0.9347733855247498,236,6,553,357
2025-09-06 04:37:16.674303,0,person,Info,0.9362297058105469,230,4,544,357
2025-09-06 04:37:16.802683,0,person,Info,0.9338502883911133,223,5,537,356
2025-09-06 04:37:16.919292,0,person,Info,0.9216784238815308,220,3,517,358
2025-09-06 04:37:17.042872,0,person,Info,0.9243754148483276,214,3,502,358
2025-09-06 04:37:17.171480,0,person,Info,0.9200509786605835,209,5,488,357
2025-09-06 04:37:17.287759,0,person,Info,0.9205212593078613,200,9,469,358
2025-09-06 04:37:17.410743,0,person,Info,0.9282885789871216,171,12,454,356
2025-09-06 04:37:17.522717,0,person,Info,0.9336293339729309,150,17,447,357
2025-09-06 04:37:17.656064,0,person,Info,0.9299571514129639,124,22,436,357
2025-09-06 04:37:17.656164,0,bottle,Info,0.29889288544654846,102,277,118,331
2025-09-06 04:37:17.776267,0,person,Info,0.9224736094474792,105,27,440,357
2025-09-06 04:37:17.776429,0,bottle,Info,0.5274975299835205,102,278,119,331
2025-09-06 04:37:17.899899,0,person,Caution,0.9345486760139465,81,35,423,358
2025-09-06 04:37:17.900023,0,tv,Info,0.29872238636016846,1,269,161,334
2025-09-06 04:37:18.024277,0,person,Caution,0.9048534631729126,57,42,428,357
2025-09-06 04:37:18.151233,0,person,Caution,0.9279728531837463,42,47,403,357
2025-09-06 04:37:18.268489,0,person,Caution,0.928119421005249,22,54,395,357
2025-09-06 04:37:18.407084,0,person,Caution,0.943800151348114,4,62,386,357
2025-09-06 04:37:18.505049,0,person,Caution,0.9410958290100098,0,67,385,357
2025-09-06 04:37:18.592178,0,person,Caution,0.9374771118164062,0,67,383,357
2025-09-06 04:37:18.769500,0,person,Caution,0.9421170353889465,0,66,388,357
2025-09-06 04:37:18.917326,0,person,Caution,0.9429313540458679,1,63,384,357
2025-09-06 04:37:19.070572,0,person,Caution,0.9436707496643066,23,53,397,357
2025-09-06 04:37:19.186941,0,person,Caution,0.921069860458374,51,45,409,357
2025-09-06 04:37:19.187051,0,bottle,Info,0.2802552878856659,103,278,118,330
2025-09-06 04:37:19.302672,0,person,Info,0.9296432733535767,98,30,422,357
2025-09-06 04:37:19.435752,0,person,Info,0.9284377694129944,132,25,434,357
2025-09-06 04:37:19.435887,0,bottle,Info,0.27836036682128906,102,279,118,331
2025-09-06 04:37:19.554088,0,person,Info,0.9228280186653137,180,15,458,357
2025-09-06 04:37:19.554224,0,bottle,Info,0.32895153760910034,101,278,118,330
2025-09-06 04:37:19.678755,0,person,Info,0.9240883588790894,198,9,491,357
2025-09-06 04:37:19.826401,0,person,Info,0.9279658198356628,206,2,523,358
2025-09-06 04:37:19.928710,0,person,Info,0.9261147975921631,217,1,547,357
2025-09-06 04:37:20.025273,0,person,Info,0.9354953169822693,235,1,566,356
2025-09-06 04:37:20.158583,0,person,Info,0.9391387701034546,242,1,570,357
2025-09-06 04:37:20.263933,0,person,Info,0.940647542476654,248,1,573,357
